05-03 14:43 gatefinder.toplevel INFO     Setting up logger for gateFinder application...
05-03 14:43 gatefinder.dbMap.Design INFO     creating an instance of Design
05-03 14:43 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:43 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:43 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 layer_id from 2 to 2
05-03 14:43 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 latcoord from ('-1', '-3', '0') to (-4, -3, 1)
05-03 14:43 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 physloc from ('-3.84', '-23.04') to (-15.36, -9.27)
05-03 14:43 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 color from #ffffff00 to #ff00ff00
05-03 14:43 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:43 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 layer_id from 2 to 2
05-03 14:43 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 latcoord from ('-4', '-3', '1') to (-4, 2, 1)
05-03 14:43 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 physloc from ('-15.36', '-9.27') to (-15.36, 9.93)
05-03 14:43 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 color from #ff00ff00 to #ff00ff00
05-03 14:43 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:43 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 layer_id from 2 to 2
05-03 14:43 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 latcoord from ('-4', '2', '1') to (-4, -2, 1)
05-03 14:43 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 physloc from ('-15.36', '9.93') to (-15.36, -5.43)
05-03 14:43 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 color from #ff00ff00 to #ffc8c8c8
05-03 14:43 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:43 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 layer_id from 2 to 2
05-03 14:43 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 latcoord from ('-4', '-2', '1') to (-4, 1, 1)
05-03 14:43 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 physloc from ('-15.36', '-5.43') to (-15.36, 6.09)
05-03 14:43 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 color from #ffc8c8c8 to #ffc8c8c8
05-03 14:43 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:43 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 layer_id from 2 to 2
05-03 14:43 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 latcoord from ('-4', '1', '1') to (4, 0, 0)
05-03 14:43 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 physloc from ('-15.36', '6.09') to (15.36, 0.0)
05-03 14:43 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 color from #ffc8c8c8 to #ffc8c8c8
05-03 14:43 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
