05-03 14:23 gatefinder.toplevel INFO     Setting up logger for gateFinder application...
05-03 14:23 gatefinder.dbMap.Design INFO     creating an instance of Design
05-03 14:23 gatefinder.editor.Editor INFO     creating an instance of Editor
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot DEBUG    Changing DB #8 latcoord from ('18', '0', '0') to (19, 0, 0)
05-03 14:23 gatefinder.dbMap.DBDot DEBUG    Changing DB #8 physloc from ('69.12', '0.0') to (72.96, 0.0)
05-03 14:23 gatefinder.inputPermuter.Permuter INFO     creating an instance of Permuter
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 layer_id from 2 to 2
05-03 14:23 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 latcoord from ('19', '0', '0') to ('-4', '4', '0')
05-03 14:23 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 physloc from ('72.96', '0.0') to ('-15.36', '15.36')
05-03 14:23 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 color from #ff0000ff to #ffffff00
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 layer_id from 2 to 2
05-03 14:23 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 latcoord from ('19', '0', '0') to ('-4', '-5', '1')
05-03 14:23 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 physloc from ('72.96', '0.0') to ('-15.36', '-16.95')
05-03 14:23 gatefinder.dbMap.DBDot DEBUG    Changing DB #1 color from #ff0000ff to #ffffff00
05-03 14:23 gatefinder.dbMap.Design INFO     creating an instance of Design
05-03 14:23 gatefinder.editor.Editor INFO     creating an instance of Editor
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.Design INFO     creating an instance of Design
05-03 14:23 gatefinder.editor.Editor INFO     creating an instance of Editor
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:23 gatefinder.dbMap.Design INFO     creating an instance of Design
05-03 14:23 gatefinder.editor.Editor INFO     creating an instance of Editor
