05-03 14:18 gatefinder.toplevel INFO     Setting up logger for gateFinder application...
05-03 14:18 gatefinder.dbMap.Design INFO     creating an instance of Design
05-03 14:18 gatefinder.editor.Editor INFO     creating an instance of Editor
05-03 14:18 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:18 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:18 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:18 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:18 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:18 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:18 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:18 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:18 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:18 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:18 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:18 gatefinder.dbMap.DBDot INFO     creating an instance of DBDot
05-03 14:18 gatefinder.dbMap.DBDot DEBUG    Changing DB #0 latcoord from ('-3', '-2', '1') to (-3, -3, 1)
05-03 14:18 gatefinder.dbMap.DBDot DEBUG    Changing DB #0 physloc from ('-11.52', '-13.11') to (-11.52, -20.79)
05-03 14:18 gatefinder.dbMap.DBDot DEBUG    Changing DB #9 latcoord from ('-7', '-2', '1') to (-7, -7, 1)
05-03 14:18 gatefinder.dbMap.DBDot DEBUG    Changing DB #9 physloc from ('-26.88', '-13.11') to (-26.88, -51.51)
05-03 14:18 gatefinder.dbMap.DBDot DEBUG    Changing DB #2 latcoord from ('-13', '1', '1') to (-13, 1, 1)
05-03 14:18 gatefinder.dbMap.DBDot DEBUG    Changing DB #2 physloc from ('-49.92', '9.93') to (-49.92, 9.93)
05-03 14:18 gatefinder.dbMap.DBDot DEBUG    Changing DB #10 latcoord from ('-17', '1', '1') to (-17, 1, 1)
05-03 14:18 gatefinder.dbMap.DBDot DEBUG    Changing DB #10 physloc from ('-65.28', '9.93') to (-65.28, 9.93)
05-03 14:18 gatefinder.dbMap.DBDot DEBUG    Changing DB #4 latcoord from ('-3', '4', '0') to (-3, 5, 0)
05-03 14:18 gatefinder.dbMap.DBDot DEBUG    Changing DB #4 physloc from ('-11.52', '30.72') to (-11.52, 38.4)
05-03 14:18 gatefinder.dbMap.DBDot DEBUG    Changing DB #11 latcoord from ('-7', '4', '0') to (-7, 9, 0)
05-03 14:18 gatefinder.dbMap.DBDot DEBUG    Changing DB #11 physloc from ('-26.88', '30.72') to (-26.88, 69.12)
05-03 14:18 gatefinder.dbMap.DBDot DEBUG    Changing DB #9 latcoord from (-7, -7, 1) to (-7, -4, 1)
05-03 14:18 gatefinder.dbMap.DBDot DEBUG    Changing DB #9 physloc from (-26.88, -51.51) to (-26.88, -13.11)
05-03 14:18 gatefinder.dbMap.DBDot DEBUG    Changing DB #9 latcoord from (-7, -4, 1) to (-6, -4, 1)
